search out	Ubik
drape	1) драпировка; портьера; занавес; ) закладывать складки, драпировать складками
dribble	струйка, маленький ручеёк; 1) капать, течь тонкой струйкой
eerie	) жуткий, зловещий, мрачный
effluvium	миазм; (зловонное) испарение
entice	соблазнять; переманивать, сманивать
ergot	спорынья
erratic	изменчивый, непостоянный;чудак, сумасброд
excrete	выделять, извергать
exude	выделяться (о поте и т. п.) ; сочиться
exultant	ликующий, торжествующий
fall off	1) уменьшаться, ослабевать2) ухудшаться
fall out	1) выбывать; выходить из строя 2) случаться 3) ссориться
feral	1) дикий, жестокий, беспощадный
firm up	make harder
flabby	3) слабый, вялый, мягкотелый 1) обрюзгший
frail	weak
screwball	сумасброд; чудак; эксцентричный; безумный
conviction	work out of ~; беждение, уверение;  убеждения, взгляды
tip off	give you information about something
subtlety	нежность; тонкость; искусность; ловкость
stilted	- voice formal
twiddle	-dial
whiz	- sound
nifty	1) модный, щегольской; стильный; шутка; остроумное замечание; острое словцо
incised	выгравированный; украшенный резьбой
staggering	- stunning
flak	взбучка, разнос
forestall	следовать впереди; предвосхищать, опережать
fret	беспокоить, волновать, раздражать
fritter	кусочек, фрагмент
fumble	1) нащупывать  а) мять, теребить (что-л.)
furtive	1) скрытый, тайный; незаметный; 4) вороватый, не чистый на руку
garish	1) очень яркий, ослепительный (о красках, свете)
get around to	you have delayed doing or have been too busy to do, you finally do it.
get at	succeed in reaching it. succeed in discovering it.
goad	побуждать; стимулировать; подгонять (стадо); заострённый прут
graft	прививка растения; пересадка ткани; взятка, подкуп; имплантировать
gratuity	денежный подарок; пособие взятка (с уничижительным оттенком) в) чаевые
grate	тереть, скрести с резким звуком; действовать на нервы, раздражать; решётка, сетка
groat	мелкая, ничтожная сумма ••
groggy	шаткий, непрочный; расшатанный
grunt	ворчать; бормотать
gyrate	вращаться по кругу
haggard	измождённый, измученный, изнурённый;
harangue	1) речь (публичная) ; горячее обращение 2) разглагольствование1) выступать с речью, произносить речь
have on	иметь что-л. в планах быть одетым (во что-л.)
hidebound	1) истощённый, отощавший (о скоте) 2) истощённый, бедный (о почве)
hunch	подозрение, предчувствие; интуиция сгибаться; горбиться, сутулиться
icebound	1) скованный льдом (о реке) 2) вмёрзший в лёд; окружённый льдами;
impediment	) помеха, преграда, препона, препятствие 1) физический недостаток (обычно связанный с речью)
impairment	ухудшение; повреждение, упадок
incongruous	несоответственный, несочетаемый, несовместимый
incur	вытекать, следовать из; подвергаться (чему-л.) ; навлекать на себя
infusion	а) вливание 2) внушение (надежды) ; придание (храбрости) 3) а) настаивание, заваривание (трав, чая)
jangle	) резкий звук; нестройный звон колоколов Syn: discord б) гул, гам, слитный шум голосов а) издавать резкие, нестройные звуки; нестройно звучать
jiggle	покачивание; тряска а) покачиваться; трястись
jowl	1) челюсть; челюстная кость а) щека б) утолщение шеи, второй подбородок
kelp	1) бурая водоросль; ламинария
kiln	печь для обжига и сушки
